locationID,last_pollinator,state,county,population,areasqkm,geometry
1103660,Unknown,Oregon,Multnomah,735334,1204.81076098,"c(-122.636711, 45.546284)"
1103700,Unknown,Oregon,Multnomah,735334,1204.81076098,"c(-122.724455, 45.490442)"
1103760,Unknown,New Hampshire,Rockingham,295223,2059.68152233,"c(-71.3013372, 42.8942388)"
1103860,Unknown,New Hampshire,Rockingham,295223,2059.68152233,"c(-71.2778446, 42.9049003)"
1104410,Unknown,California,Santa Clara,1781642,3377.48652193,"c(-122.02112, 37.3291619)"
1105070,Unknown,Texas,Denton,662614,2468.01318253,"c(-96.994174, 33.046233)"
1105200,NA,California,Los Angeles,9818605,12305.3823177,"c(-118.509339, 34.373652)"
1105210,Unknown,California,Santa Barbara,423895,9813.8153107,"c(-119.72921, 34.408914)"
1105330,Unknown,Tennessee,Shelby,927644,2033.20570077,"c(-90.04898, 35.149534)"
1106020,Unknown,Virginia,Rockbridge,22307,1553.87625698,"c(-79.342465, 37.813741)"
1126670,Western Honey bee,California,Shasta,177223,9964.70998728,"c(-122.367317, 40.67983)"
1132870,Unknown,Georgia,Pierce,18758,888.96119799,"c(-82.3516769, 31.3085733)"
1133820,Unknown,California,Mendocino,87841,10044.373809,"c(-123.217835, 39.143101)"
1135160,Unknown,Arizona,Pima,980263,23800.049975,"c(-110.801063, 32.2738889)"
1136680,Unknown,Tennessee,Blount,123010,1467.61467162,"c(-83.801004, 35.846005)"
1136710,Unknown,Virginia,Virginia Beach,437994,1288.51636687,"c(-76.127062, 36.885889)"
1136790,Unknown,Virginia,Virginia Beach,437994,1288.51636687,"c(-76.127062, 36.885889)"
1137480,Unknown,California,Los Angeles,9818605,12305.3823177,"c(-118.450607, 34.003192)"
1138190,NA,Wisconsin,Green Lake,19051,984.51728822,"c(-89.1227132, 43.8400508)"
1138320,NA,Washington,Clark,425363,1697.99324375,"c(-122.575717, 45.631684)"
1140470,Unknown,Illinois,Will,677560,2199.4739212,"c(-88.146725, 41.716643)"
1151510,Unknown bee,California,Fresno,930450,15568.7501231,"c(-119.7360743, 36.8455881)"
1152210,Unknown bee,North Carolina,New Hanover,202667,851.74036853,"c(-77.9006401, 34.0807672)"
1152360,Bumblebee,Tennessee,Cumberland,56053,1773.67370785,"c(-84.888899, 36.024711)"
1153220,NA,California,Alameda,1510271,2126.53346001,"c(-122.233909, 37.729537)"
1153240,NA,California,Los Angeles,9818605,12305.3823177,"c(-118.130844, 33.903249)"
1153420,Western Honey bee,Tennessee,Davidson,626681,1361.60991533,"c(-86.719348, 36.217374)"
1154310,Unknown bee,California,Santa Clara,1781642,3377.48652193,"c(-121.886125, 37.290117)"
1155360,Western Honey bee,California,Sacramento,1418788,2575.25763954,"c(-121.371256, 38.611239)"
1157410,NA,New Jersey,Hudson,634266,161.59951491,"c(-74.029857, 40.760787)"
1157540,Unknown bee,Georgia,DeKalb,691893,702.33661162,"c(-84.260503, 33.830589)"
1158020,Bumblebee,NA,NA,NA,NA,"c(-79.2586481, 42.8860929)"
1158520,Wasp (Hymenoptera),Georgia,Forsyth,175511,640.03840911,"c(-84.169184, 34.0908599)"
1158870,Unknown,Iowa,Polk,430640,1532.06723089,"c(-93.638592, 41.590475)"
1159450,Western Honey bee,Pennsylvania,Montgomery,799874,1261.84105116,"c(-75.2152835, 40.1372416)"
1159580,Western Honey bee,Indiana,Marion,903393,1043.7914673,"c(-86.158068, 39.768403)"
1159670,Western Honey bee,Colorado,Weld,252825,10403.2646987,"c(-104.7894833, 40.4100459)"
1159740,Unknown bee,Michigan,Cheboygan,26152,2293.17106627,"c(-84.693987, 45.486225)"
1160760,Unknown,Maryland,Baltimore,805029,1765.740305,"c(-76.6884841, 39.5497736)"
1160960,Unknown,California,Alameda,1510271,2126.53346001,"c(-122.0255776, 37.6540172)"
1161060,Unknown,Wisconsin,Dane,488073,3205.11634897,"c(-89.181505, 43.190175)"
1161320,Unknown,California,Yolo,200849,2650.94540892,"c(-121.730543, 38.551119)"
1161380,Unknown,Alaska,Anchorage,291826,5035.04065727,"c(-149.908548, 61.207189)"
1162510,Unknown bee,Minnesota,Scott,129928,954.0686067,"c(-93.508304, 44.79164)"
1168000,Bumblebee,Georgia,Clarke,116714,313.47971722,"c(-83.3761009, 33.9541474)"
